Feature,F_score,MI_score,Combined_score
index,164.05524649236753,0.681827561020096,2.0
thall_2,139.70209168185917,0.12522435198415915,1.0351966997650865
slp_2,136.93277020432063,0.12403690941588685,1.0165726383176386
oldpeak,114.01614272891374,0.15149820806453507,0.9171429426629396
thalachh,92.29868604844948,0.13625078565523774,0.7623851077361419
slp_1,60.348497813592125,0.08441483216303092,0.49158344289156364
chol,29.06811199009874,0.1512829146436867,0.3989619253622271
chol_zscore,29.068111990098753,0.14852318344877768,0.3949143752884517
thall_3,42.26166388567091,0.07774032325685232,0.37153226071327017
exng_1,46.484501691145816,0.05187309183208755,0.35933769251742836
caa_1,25.39173384489735,0.07031104604564531,0.2577926623972344
caa_2,33.663687134257046,0.03545022345598814,0.2570921348958003
trtbps,21.58308315688137,0.08307639948425205,0.2532963994561331
cp_2,27.585365869150035,0.046958999930525325,0.23691641644595016
thall_1,21.210956547397263,0.042401379515621285,0.1913719436784881
caa_3,15.517539069629365,0.036942967097874924,0.14865783062784543
age,7.085377199572457,0.06141496635580945,0.1331449537246439
cp_1,6.983878842998412,0.02145867742797325,0.07392444242303306
cp_3,5.120101137800255,0.02215740455079751,0.0635871551575858
restecg_1,7.609974210828029,0.0,0.04626898843752209
sex_1,3.4235535332930156,0.007022646170933067,0.03104722006210618
caa_4,2.2879219952800574,0.0,0.013824375896029278
fbs_1,1.6458980614737309,0.0,0.009910431250041514
restecg_2,0.020240411105239196,0.0,0.0
